# Graf 1: Velký orientovaný graf s cykly a složitou strukturou
# Simuluje síť závislostí v distribuovaném systému
u Server1 100;
u Server2 150;
u Server3 120;
u Server4 180;
u Server5 90;
u Database1 200;
u Database2 220;
u Cache1 50;
u Cache2 60;
u LoadBalancer 110;
u APIGateway 95;
u AuthService 130;
u UserService 140;
u OrderService 160;
u PaymentService 170;
u NotificationService 85;
u LoggingService 75;
u MonitoringService 80;
u BackupService 190;
u AnalyticsService 125;
u SearchService 135;
u RecommendationService 145;
u MessagingQueue 70;
u FileStorage 105;
u CDN 115;
h LoadBalancer > APIGateway 2 :lb_to_api;
h APIGateway > AuthService 3 :auth_check;
h APIGateway > UserService 2 :user_route;
h APIGateway > OrderService 4 :order_route;
h APIGateway > SearchService 3 :search_route;
h AuthService > Database1 5 :auth_db;
h AuthService > Cache1 1 :auth_cache;
h UserService > Database1 6 :user_db;
h UserService > Cache1 2 :user_cache;
h UserService > MessagingQueue 2 :user_msg;
h OrderService > Database2 7 :order_db;
h OrderService > PaymentService 8 :payment_req;
h OrderService > NotificationService 3 :order_notif;
h OrderService > Cache2 2 :order_cache;
h PaymentService > Database2 9 :payment_db;
h PaymentService > NotificationService 4 :payment_notif;
h PaymentService > LoggingService 2 :payment_log;
h NotificationService > MessagingQueue 3 :notif_queue;
h NotificationService > UserService 2 :notif_user;
h SearchService > Database1 5 :search_db;
h SearchService > Cache1 3 :search_cache;
h SearchService > AnalyticsService 2 :search_analytics;
h RecommendationService > Database1 6 :rec_db;
h RecommendationService > AnalyticsService 4 :rec_analytics;
h RecommendationService > Cache2 2 :rec_cache;
h AnalyticsService > Database2 8 :analytics_db;
h AnalyticsService > FileStorage 3 :analytics_storage;
h LoggingService > Database2 4 :logging_db;
h LoggingService > FileStorage 2 :logging_storage;
h MonitoringService > Server1 1 :mon_s1;
h MonitoringService > Server2 1 :mon_s2;
h MonitoringService > Server3 1 :mon_s3;
h MonitoringService > Server4 1 :mon_s4;
h MonitoringService > Server5 1 :mon_s5;
h MonitoringService > Database1 2 :mon_db1;
h MonitoringService > Database2 2 :mon_db2;
h BackupService > Database1 10 :backup_db1;
h BackupService > Database2 10 :backup_db2;
h BackupService > FileStorage 5 :backup_storage;
h Server1 > LoadBalancer 1 :s1_lb;
h Server2 > LoadBalancer 1 :s2_lb;
h Server3 > LoadBalancer 1 :s3_lb;
h Server4 > LoadBalancer 1 :s4_lb;
h Server5 > LoadBalancer 1 :s5_lb;
h Database1 > BackupService 2 :db1_backup;
h Database2 > BackupService 2 :db2_backup;
h MessagingQueue > LoggingService 1 :queue_log;
h FileStorage > CDN 3 :storage_cdn;
h CDN > Server1 1 :cdn_s1;
h CDN > Server2 1 :cdn_s2;
h Cache1 > MonitoringService 1 :cache1_mon;
h Cache2 > MonitoringService 1 :cache2_mon;
h AnalyticsService > RecommendationService 3 :analytics_rec;

